benchmark,mode,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions,batch_lcps_invocations,batch_lcps_available_slots_total,batch_lcps_candidates_generated,batch_lcps_candidates_selected,batch_lcps_candidate_generation_failures,batch_lcps_avg_candidate_pool_size,batch_lcps_avg_selected_batch_size,batch_lcps_effective_batch_decisions
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_4.i_2-d2b55c6a,BATCH_LCPS,true,true,16,SAFE,32388,17,0,0,41.47239288489287,0.3049440653300946,2,0,0,0,0,0,0,0,0,0,2,16,36,16,0,18.0,8.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_6.i_2-f35d9452,PAPER,true,true,4,SAFE,27237,5,0,2,6.416666666666667,0.6416666666666667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_6.i_2-f35d9452,PAPER,true,true,8,SAFE,29112,9,0,2,16.460714285714285,0.4572420634920635,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_6.i_2-f35d9452,PAPER,true,true,16,SAFE,32384,17,0,2,41.47239288489287,0.3049440653300946,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_6.i_2-f35d9452,LCPS,true,true,4,SAFE,27259,5,0,2,6.416666666666667,0.6416666666666667,2,0,36,36,25,0,4,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_6.i_2-f35d9452,LCPS,true,true,8,SAFE,29065,9,0,2,16.460714285714285,0.4572420634920635,2,0,150,150,121,0,8,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_6.i_2-f35d9452,LCPS,true,true,16,SAFE,32447,17,0,2,41.47239288489287,0.3049440653300946,2,0,618,618,505,0,16,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_6.i_2-f35d9452,BATCH_LCPS,true,true,4,SAFE,40088,5,0,0,6.416666666666667,0.6416666666666667,2,0,0,0,0,0,0,0,0,0,2,4,16,4,0,8.0,2.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_6.i_2-f35d9452,BATCH_LCPS,true,true,8,SAFE,29048,9,0,0,16.46071428571429,0.4572420634920636,2,0,0,0,0,0,0,0,0,0,2,8,32,8,0,16.0,4.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_6.i_2-f35d9452,BATCH_LCPS,true,true,16,SAFE,32492,17,0,0,41.47239288489287,0.3049440653300946,2,0,0,0,0,0,0,0,0,0,2,16,36,16,0,18.0,8.0,0
